name,telescope,exptime,jd,date,chip,readodut,filename,shape
darks-0003_3,B&C,3.0,2460689.272212847,2025-01-13T18:31:59.19,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0003_3.fit,2048
darks-0002_15,B&C,15.0,2460689.2523042825,2025-01-13T18:03:19.09,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0002_15.fit,2048
darks-0002_23,B&C,23.0,2460689.2515819445,2025-01-13T18:02:16.68,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0002_23.fit,2048
darks-0001_15,B&C,15.0,2460689.2328949072,2025-01-13T17:35:22.12,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0001_15.fit,2048
darks-0001_3,B&C,3.0,2460689.233397222,2025-01-13T17:36:05.52,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0001_3.fit,2048
darks-0003_18,B&C,18.0,2460689.2713782405,2025-01-13T18:30:47.08,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0003_18.fit,2048
darks-0002_30,B&C,30.0,2460689.1751596066,2025-01-13T16:12:13.79,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0002_30.fit,2048
darks-0003_25,B&C,25.0,2460689.270575,2025-01-13T18:29:37.68,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0003_25.fit,2048
darks-0002_25,B&C,25.0,2460689.25116875,2025-01-13T18:01:40.98,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0002_25.fit,2048
darks-0003_900,B&C,900.0,2460689.2600346063,2025-01-13T18:14:26.99,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0003_900.fit,2048
darks-0003_300,B&C,300.0,2460689.168797454,2025-01-13T16:03:04.10,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0003_300.fit,2048
darks-0002_600,B&C,600.0,2460689.2335556713,2025-01-13T17:36:19.21,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0002_600.fit,2048
darks-0001_300,B&C,300.0,2460689.1616055556,2025-01-13T15:52:42.72,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0001_300.fit,2048
darks-0001_18,B&C,18.0,2460689.2325626155,2025-01-13T17:34:53.41,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0001_18.fit,2048
darks-0002_900,B&C,900.0,2460689.2406247687,2025-01-13T17:46:29.98,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0002_900.fit,2048
darks-0002_3,B&C,3.0,2460689.2528071757,2025-01-13T18:04:02.54,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0002_3.fit,2048
darks-0001_23,B&C,23.0,2460689.232171875,2025-01-13T17:34:19.65,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0001_23.fit,2048
darks-0003_7,B&C,7.0,2460689.272007986,2025-01-13T18:31:41.49,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0003_7.fit,2048
darks-0003_15,B&C,15.0,2460689.2717105323,2025-01-13T18:31:15.79,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0003_15.fit,2048
darks-0003_600,B&C,600.0,2460689.252965625,2025-01-13T18:04:16.23,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0003_600.fit,2048
darks-0001_30,B&C,30.0,2460689.1746886573,2025-01-13T16:11:33.10,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0001_30.fit,2048
darks-0002_300,B&C,300.0,2460689.1652015047,2025-01-13T15:57:53.41,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0002_300.fit,2048
darks-0003_23,B&C,23.0,2460689.2709881943,2025-01-13T18:30:13.38,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0003_23.fit,2048
darks-0001_7,B&C,7.0,2460689.233192361,2025-01-13T17:35:47.82,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0001_7.fit,2048
darks-0001_25,B&C,25.0,2460689.2317586807,2025-01-13T17:33:43.95,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0001_25.fit,2048
darks-0002_7,B&C,7.0,2460689.252601505,2025-01-13T18:03:44.77,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0002_7.fit,2048
darks-0001_600,B&C,600.0,2460689.214146991,2025-01-13T17:08:22.30,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0001_600.fit,2048
darks-0003_30,B&C,30.0,2460689.1756297452,2025-01-13T16:12:54.41,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0003_30.fit,2048
darks-0002_18,B&C,18.0,2460689.251971991,2025-01-13T18:02:50.38,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0002_18.fit,2048
darks-0001_900,B&C,900.0,2460689.2212173613,2025-01-13T17:18:33.18,-1,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/darks-0001_900.fit,2048
