name,band,telescope,exptime,jd,date,filename,dark_file,time_diff,nimages,flat_type,note
flat_2459831_60d_r,r,B&C,8.0,2459831,2022-09-05T18:34:05.81,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459831_60d_r.fits.gz,B&C,,71,B&C,good
flat_2459831_60d_i,i,B&C,0.8,2459831,2022-09-06T06:32:22.01,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459831_60d_i.fits.gz,B&C,,98,B&C,good
flat_2459831_60d_g,g,B&C,2.0,2459831,2022-09-08T18:32:12.11,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459831_60d_g.fits.gz,B&C,,59,B&C,good
flat_2459831_60d_V,V,B&C,5.0,2459831,2022-09-04T18:38:51.05,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459831_60d_V.fits.gz,B&C,,42,B&C,good
flat_2459831_60d_SII,SII,B&C,12.0,2459831,2022-09-08T18:44:11.87,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459831_60d_SII.fits.gz,B&C,,51,B&C,good
flat_2459831_60d_R,R,B&C,2.0,2459831,2022-09-06T06:35:29.82,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459831_60d_R.fits.gz,B&C,,55,B&C,good
flat_2459831_60d_OIII,OIII,B&C,10.0,2459831,2022-09-05T18:50:19.20,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459831_60d_OIII.fits.gz,B&C,,71,B&C,good
flat_2459831_60d_Halpha,Halpha,B&C,8.0,2459831,2022-09-06T06:18:37.58,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459831_60d_Halpha.fits.gz,B&C,,60,B&C,good
flat_2459831_60d_Clear,Clear,B&C,15.0,2459831,2022-09-08T18:16:14.46,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459831_60d_Clear.fits.gz,B&C,,10,B&C,good
flat_2459831_60d_B,B,B&C,15.0,2459831,2022-09-08T18:26:53.17,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459831_60d_B.fits.gz,B&C,,6,B&C,good
flat_2459830_60d_r,r,B&C,8.0,2459830,2022-09-05T18:34:05.81,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459830_60d_r.fits.gz,B&C,,61,B&C,good
flat_2459830_60d_i,i,B&C,0.8,2459830,2022-09-06T06:32:22.01,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459830_60d_i.fits.gz,B&C,,88,B&C,good
flat_2459830_60d_g,g,B&C,5.0,2459830,2022-09-08T06:41:19.69,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459830_60d_g.fits.gz,B&C,,52,B&C,good
flat_2459830_60d_SII,SII,B&C,8.0,2459830,2022-09-05T18:52:21.20,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459830_60d_SII.fits.gz,B&C,,46,B&C,good
flat_2459830_60d_R,R,B&C,2.0,2459830,2022-09-06T06:35:29.82,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459830_60d_R.fits.gz,B&C,,44,B&C,good
flat_2459828_60d_r,r,B&C,8.0,2459828,2022-09-05T18:34:05.81,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459828_60d_r.fits.gz,B&C,,52,B&C,good
flat_2459828_60d_i,i,B&C,0.8,2459828,2022-09-06T06:32:22.01,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459828_60d_i.fits.gz,B&C,,77,B&C,good
flat_2459828_60d_g,g,B&C,10.0,2459828,2022-09-04T18:33:19.37,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459828_60d_g.fits.gz,B&C,,42,B&C,good
flat_2459828_60d_V,V,B&C,5.0,2459828,2022-09-04T18:38:51.05,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459828_60d_V.fits.gz,B&C,,32,B&C,good
flat_2459828_60d_SII,SII,B&C,8.0,2459828,2022-09-05T18:52:21.20,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459828_60d_SII.fits.gz,B&C,,44,B&C,good
flat_2459828_60d_R,R,B&C,2.0,2459828,2022-09-06T06:35:29.82,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459828_60d_R.fits.gz,B&C,,41,B&C,good
flat_2459828_60d_OIII,OIII,B&C,10.0,2459828,2022-09-05T18:50:19.20,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459828_60d_OIII.fits.gz,B&C,,62,B&C,good
flat_2459828_60d_Halpha,Halpha,B&C,8.0,2459828,2022-09-06T06:18:37.58,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459828_60d_Halpha.fits.gz,B&C,,50,B&C,good
flat_2459827_60d_r,r,B&C,12.0,2459827,2022-09-02T18:37:30.31,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459827_60d_r.fits.gz,B&C,,33,B&C,good
flat_2459827_60d_i,i,B&C,1.0,2459827,2022-09-04T18:43:41.80,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459827_60d_i.fits.gz,B&C,,40,B&C,good
flat_2459827_60d_g,g,B&C,10.0,2459827,2022-09-04T18:33:19.37,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459827_60d_g.fits.gz,B&C,,23,B&C,good
flat_2459827_60d_V,V,B&C,5.0,2459827,2022-09-04T18:38:51.05,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459827_60d_V.fits.gz,B&C,,10,B&C,good
flat_2459827_60d_SII,SII,B&C,10.0,2459827,2022-09-04T18:54:20.49,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459827_60d_SII.fits.gz,B&C,,24,B&C,good
flat_2459827_60d_R,R,B&C,2.0,2459827,2022-09-04T18:41:42.06,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459827_60d_R.fits.gz,B&C,,12,B&C,good
flat_2459827_60d_OIII,OIII,B&C,30.0,2459827,2022-09-02T18:47:36.12,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459827_60d_OIII.fits.gz,B&C,,42,B&C,good
flat_2459827_60d_Halpha,Halpha,B&C,7.0,2459827,2022-09-02T18:58:41.51,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459827_60d_Halpha.fits.gz,B&C,,38,B&C,good
flat_2459825_60d_r,r,B&C,12.0,2459825,2022-09-02T18:37:30.31,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459825_60d_r.fits.gz,B&C,,22,B&C,good
flat_2459825_60d_i,i,B&C,1.0,2459825,2022-09-02T18:45:17.74,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459825_60d_i.fits.gz,B&C,,23,B&C,good
flat_2459825_60d_g,g,B&C,25.0,2459825,2022-09-02T18:32:22.25,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459825_60d_g.fits.gz,B&C,,13,B&C,good
flat_2459825_60d_SII,SII,B&C,13.0,2459825,2022-09-02T18:52:24.32,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459825_60d_SII.fits.gz,B&C,,14,B&C,good
flat_2459825_60d_OIII,OIII,B&C,30.0,2459825,2022-09-02T18:47:36.12,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459825_60d_OIII.fits.gz,B&C,,32,B&C,good
flat_2459825_60d_Halpha,Halpha,B&C,7.0,2459825,2022-09-02T18:58:41.51,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459825_60d_Halpha.fits.gz,B&C,,30,B&C,good
flat_2459821_60d_r,r,B&C,10.0,2459821,2022-08-29T18:40:56.57,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459821_60d_r.fits.gz,B&C,,6,B&C,good
flat_2459821_60d_i,i,B&C,5.0,2459821,2022-08-29T18:43:47.44,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459821_60d_i.fits.gz,B&C,,3,B&C,good
flat_2459821_60d_g,g,B&C,10.0,2459821,2022-08-29T18:42:23.26,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459821_60d_g.fits.gz,B&C,,3,B&C,good
flat_2459697_60d_z,z,B&C,4.0,2459697,2022-04-28T06:01:11.75,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459697_60d_z.fits.gz,B&C,,39,B&C,good
flat_2459697_60d_i,i,B&C,180.0,2459697,2022-04-28T06:25:42.56,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459697_60d_i.fits.gz,B&C,,79,B&C,good
flat_2459697_60d_SII,SII,B&C,1.0,2459697,2022-04-28T05:37:02.39,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459697_60d_SII.fits.gz,B&C,,28,B&C,good
flat_2459697_60d_OIII,OIII,B&C,3.0,2459697,2022-04-28T05:43:35.45,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459697_60d_OIII.fits.gz,B&C,,29,B&C,good
flat_2459697_60d_Halpha,Halpha,B&C,2.0,2459697,2022-04-28T05:38:11.14,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459697_60d_Halpha.fits.gz,B&C,,16,B&C,good
flat_2459696_60d_r,r,B&C,9.0,2459696,2022-04-27T06:13:04.38,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459696_60d_r.fits.gz,B&C,,118,B&C,good
flat_2459696_60d_i,i,B&C,30.0,2459696,2022-04-27T06:21:06.31,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459696_60d_i.fits.gz,B&C,,39,B&C,good
flat_2459696_60d_g,g,B&C,1.0,2459696,2022-04-26T19:05:40.65,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459696_60d_g.fits.gz,B&C,,131,B&C,good
flat_2459695_60d_g,g,B&C,10.0,2459695,2022-04-26T06:18:46.89,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459695_60d_g.fits.gz,B&C,,76,B&C,good
flat_2459687_60d_r,r,B&C,10.0,2459687,2022-04-18T09:13:33.48,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459687_60d_r.fits.gz,B&C,,69,B&C,good
flat_2459687_60d_g,g,B&C,10.0,2459687,2022-04-18T09:15:04.23,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459687_60d_g.fits.gz,B&C,,66,B&C,good
flat_2459686_60d_r,r,B&C,10.0,2459686,2022-04-17T11:18:10.26,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459686_60d_r.fits.gz,B&C,,54,B&C,good
flat_2459684_60d_r,r,B&C,6.0,2459684,2022-04-14T18:46:39.57,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459684_60d_r.fits.gz,B&C,,23,B&C,good
flat_2459684_60d_i,i,B&C,2.0,2459684,2022-04-14T18:51:09.38,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459684_60d_i.fits.gz,B&C,,34,B&C,good
flat_2459684_60d_g,g,B&C,5.0,2459684,2022-04-14T18:44:55.88,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459684_60d_g.fits.gz,B&C,,21,B&C,good
flat_2459682_60d_r,r,B&C,9.0,2459682,2022-04-12T18:44:04.97,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459682_60d_r.fits.gz,B&C,,10,B&C,good
flat_2459682_60d_i,i,B&C,3.0,2459682,2022-04-12T18:48:57.66,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459682_60d_i.fits.gz,B&C,,24,B&C,good
flat_2459682_60d_g,g,B&C,12.0,2459682,2022-04-12T18:39:59.98,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459682_60d_g.fits.gz,B&C,,9,B&C,good
flat_2459617_60d_r,r,B&C,10.0,2459617,2022-01-25T16:58:20.35,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459617_60d_r.fits.gz,B&C,,79,B&C,bad
flat_2459617_60d_g,g,B&C,20.0,2459617,2022-01-27T08:46:38.60,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459617_60d_g.fits.gz,B&C,,42,B&C,bad
flat_2459617_60d_V,V,B&C,2.0,2459617,2022-01-25T17:07:19.29,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459617_60d_V.fits.gz,B&C,,77,B&C,bad
flat_2459610_60d_r,r,B&C,10.0,2459610,2022-01-25T16:58:20.35,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459610_60d_r.fits.gz,B&C,,73,B&C,good
flat_2459610_60d_g,g,B&C,20.0,2459610,2022-01-27T08:46:38.60,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459610_60d_g.fits.gz,B&C,,38,B&C,bad
flat_2459610_60d_V,V,B&C,2.0,2459610,2022-01-25T17:07:19.29,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459610_60d_V.fits.gz,B&C,,69,B&C,good
flat_2459608_60d_r,r,B&C,10.0,2459608,2022-01-25T16:58:20.35,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459608_60d_r.fits.gz,B&C,,67,B&C,good
flat_2459608_60d_g,g,B&C,20.0,2459608,2022-01-27T08:46:38.60,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459608_60d_g.fits.gz,B&C,,28,B&C,bad
flat_2459606_60d_r,r,B&C,10.0,2459606,2022-01-25T16:58:20.35,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459606_60d_r.fits.gz,B&C,,59,B&C,good
flat_2459606_60d_g,g,B&C,20.0,2459606,2022-01-27T08:46:38.60,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459606_60d_g.fits.gz,B&C,,25,B&C,bad
flat_2459606_60d_V,V,B&C,2.0,2459606,2022-01-25T17:07:19.29,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459606_60d_V.fits.gz,B&C,,60,B&C,good
flat_2459605_60d_r,r,B&C,10.0,2459605,2022-01-25T16:58:20.35,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459605_60d_r.fits.gz,B&C,,35,B&C,bad
flat_2459605_60d_g,g,B&C,15.0,2459605,2022-01-25T16:51:51.97,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459605_60d_g.fits.gz,B&C,,14,B&C,bad
flat_2459605_60d_V,V,B&C,2.0,2459605,2022-01-25T17:07:19.29,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459605_60d_V.fits.gz,B&C,,35,B&C,good
flat_2459399_60d_r,r,B&C,5.0,2459399,2021-07-04T05:36:11.44,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459399_60d_r.fits.gz,B&C,,4,B&C,good
flat_2459399_60d_i,i,B&C,15.0,2459399,2021-07-04T05:41:16.47,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459399_60d_i.fits.gz,B&C,,5,B&C,good
flat_2459399_60d_g,g,B&C,10.0,2459399,2021-07-04T05:41:45.09,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2459399_60d_g.fits.gz,B&C,,2,B&C,good
flat_2458726_60d_u,u,B&C,1.0,2458726,2019-08-31T06:03:33,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458726_60d_u.fits.gz,B&C,,4,B&C,bad
flat_2458726_60d_g,g,B&C,1.5,2458726,2019-08-31T06:28:47,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458726_60d_g.fits.gz,B&C,,23,B&C,bad
flat_2458726_60d_V,V,B&C,2.0,2458726,2019-08-31T06:26:32,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458726_60d_V.fits.gz,B&C,,22,B&C,bad
flat_2458726_60d_R,R,B&C,2.5,2458726,2019-08-31T06:30:10,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458726_60d_R.fits.gz,B&C,,22,B&C,bad
flat_2458726_60d_B,B,B&C,1.0,2458726,2019-08-31T06:22:52,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458726_60d_B.fits.gz,B&C,,32,B&C,bad
flat_2458725_60d_z,z,B&C,0.1,2458725,2019-08-30T04:27:41,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458725_60d_z.fits.gz,B&C,,20,B&C,bad
flat_2458725_60d_i,i,B&C,0.1,2458725,2019-08-30T04:27:27,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458725_60d_i.fits.gz,B&C,,20,B&C,bad
flat_2458725_60d_g,g,B&C,5.0,2458725,2019-08-30T04:50:01,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458725_60d_g.fits.gz,B&C,,20,B&C,bad
flat_2458725_60d_V,V,B&C,5.0,2458725,2019-08-30T05:19:44,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458725_60d_V.fits.gz,B&C,,20,B&C,bad
flat_2458725_60d_R,R,B&C,0.6,2458725,2019-08-30T04:34:07,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458725_60d_R.fits.gz,B&C,,20,B&C,bad
flat_2458725_60d_I,I,B&C,0.1,2458725,2019-08-30T04:34:26,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458725_60d_I.fits.gz,B&C,,20,B&C,bad
flat_2458725_60d_B,B,B&C,50.0,2458725,2019-08-30T03:31:35,/home/phys/astronomy/rri38/fli/data/master/flat/flat_2458725_60d_B.fits.gz,B&C,,27,B&C,bad
